RESERVOIR node 0 HJELLE
reservoir_init_fr= 0.67000  masl=757.575
Filling at HRW [Mm3] = 10.00000
Filling at LRW [Mm3] = 1.00000
Active reservoir capacity [Mm3] = 9.00000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 1.5000 24.8800 0.0000 0.0000 6.8140 753.7009 0.6460 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2022 9 2 0 1.3500 25.8500 0.0000 0.0000 6.5885 753.4674 0.6209 0.0000 3.9600 0.0000 0.0000 0.0000 3.9600 
2022 9 3 0 1.2400 63.9200 0.0000 0.0000 6.3569 753.2276 0.5952 0.0000 3.9200 0.0000 0.0000 0.0000 3.9200 
2022 9 4 0 1.5000 10.1000 0.0000 0.0000 6.2101 753.0755 0.5789 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 5 0 1.5500 88.8400 0.0000 0.0000 6.1021 752.9637 0.5669 0.0000 2.8000 0.0000 0.0000 0.0000 2.8000 
2022 9 6 0 1.6300 14.3500 0.0000 0.0000 6.0321 752.8912 0.5591 0.0000 2.4400 0.0000 0.0000 0.0000 2.4400 
2022 9 7 0 1.6000 51.5300 0.0000 0.0000 5.9837 752.8411 0.5537 0.0000 2.1600 0.0000 0.0000 0.0000 2.1600 
2022 9 8 0 1.4600 26.5600 0.0000 0.0000 6.0304 752.8894 0.5589 0.0000 0.9200 0.0000 0.0000 0.0000 0.9200 
2022 9 9 0 1.3500 52.9300 0.0000 0.0000 6.1297 752.9923 0.5700 0.0000 0.2000 0.0000 0.0000 0.0000 0.2000 
2022 9 10 0 1.3400 10.9400 0.0000 0.0000 6.2420 753.1086 0.5824 0.0000 0.0400 0.0000 0.0000 0.0000 0.0400 
2022 9 11 0 1.4500 10.0100 0.0000 0.0000 6.3673 753.2383 0.5964 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 12 0 2.8500 17.9500 0.0000 0.0000 6.6136 753.4933 0.6237 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 13 0 9.8000 82.5800 0.0000 0.0000 7.1492 754.0480 0.6832 0.0000 3.6000 0.0000 0.0000 0.0000 3.6000 
2022 9 14 0 6.4100 25.5000 0.0000 0.0000 7.3920 754.2994 0.7102 0.0000 3.6000 0.0000 0.0000 0.0000 3.6000 
2022 9 15 0 5.1300 55.8200 0.0000 0.0000 7.5242 754.4363 0.7249 0.0000 3.6000 0.0000 0.0000 0.0000 3.6000 
2022 9 16 0 4.1800 29.3900 0.0000 0.0000 7.8854 754.8103 0.7650 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 17 0 3.4000 46.9600 0.0000 0.0000 8.1791 755.1145 0.7977 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 18 0 2.7500 17.5900 0.0000 0.0000 8.4167 755.3605 0.8241 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 19 0 2.3000 88.3300 0.0000 0.0000 8.6154 755.5663 0.8462 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 20 0 2.0700 80.8200 0.0000 0.0000 8.7943 755.7515 0.8660 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 21 0 1.9100 88.8300 0.0000 0.0000 8.9593 755.9224 0.8844 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 22 0 1.7900 78.9000 0.0000 0.0000 8.8375 755.7962 0.8708 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 23 0 1.8800 59.9800 0.0000 0.0000 8.7234 755.6781 0.8582 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 24 0 2.0100 50.7100 0.0000 0.0000 8.6206 755.5717 0.8467 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 25 0 4.9400 99.0800 0.0000 0.0000 8.7710 755.7273 0.8634 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 26 0 9.5600 59.4000 0.0000 0.0000 9.3205 756.2963 0.9245 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 27 0 14.4000 16.8900 0.0000 0.0000 10.2384 757.0477 1.0265 0.0000 3.2000 0.0000 0.5763 0.0000 3.7763 
2022 9 28 0 26.1100 18.5200 0.0000 0.0000 11.8345 757.3669 1.2038 0.0000 3.2000 0.0000 4.4356 0.0000 7.6356 
2022 9 29 0 18.0100 27.1000 0.0000 0.0000 12.5760 757.5152 1.2862 0.0000 3.2000 0.0000 6.2283 0.0000 9.4283 
2022 9 30 0 13.5800 18.9700 0.0000 0.0000 12.8727 757.5745 1.3192 0.0000 3.2000 0.0000 6.9457 0.0000 10.1457 
