CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 1 0 4.0000 0.05467839 3.4366 0.0000 
2022 9 2 0 3.9600 0.05699924 3.9331 0.0000 
2022 9 3 0 3.9200 0.05648000 3.9260 0.0000 
2022 9 4 0 3.2000 0.04664593 3.3138 0.0000 
2022 9 5 0 2.8000 0.04064474 2.8695 0.0000 
2022 9 6 0 2.4400 0.03542459 2.5004 0.0000 
2022 9 7 0 2.1600 0.03132919 2.2074 0.0000 
2022 9 8 0 0.9200 0.01422578 1.1180 0.0000 
2022 9 9 0 0.2000 0.00346370 0.3246 0.0000 
2022 9 10 0 0.0400 0.00071230 0.0718 0.0000 
2022 9 11 0 0.0000 0.00003378 0.0079 0.0000 
2022 9 12 0 0.0000 0.00000059 0.0004 0.0000 
2022 9 13 0 3.6000 0.04901333 3.0327 0.0000 
2022 9 14 0 3.6000 0.05178667 3.5679 0.0000 
2022 9 15 0 3.6000 0.05184000 3.5994 0.0000 
2022 9 16 0 0.0000 0.00282667 0.5673 0.0000 
2022 9 17 0 0.0000 0.00005333 0.0321 0.0000 
2022 9 18 0 0.0000 0.00000000 0.0006 0.0000 
2022 9 19 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 20 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 21 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 22 0 3.2000 0.04356741 2.6957 0.0000 
2022 9 23 0 3.2000 0.04603259 3.1715 0.0000 
2022 9 24 0 3.2000 0.04608000 3.1995 0.0000 
2022 9 25 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 26 0 3.2000 0.04608000 3.2000 0.0000 
2022 9 27 0 3.7763 0.05392605 3.6855 0.0000 
2022 9 28 0 7.6356 0.10691319 7.0223 0.0000 
2022 9 29 0 9.4283 0.13430213 9.1113 0.0000 
2022 9 30 0 10.1457 0.14550791 10.0160 0.0000 
