Riversystem mini_uTAHPS_daily reservoir fractions [fr] 
YYYY MM DD HH HJELLE 
2022 9 1 0 0.6460 
2022 9 2 0 0.6209 
2022 9 3 0 0.5952 
2022 9 4 0 0.5789 
2022 9 5 0 0.5669 
2022 9 6 0 0.5591 
2022 9 7 0 0.5537 
2022 9 8 0 0.5589 
2022 9 9 0 0.5700 
2022 9 10 0 0.5824 
2022 9 11 0 0.5964 
2022 9 12 0 0.6237 
2022 9 13 0 0.6832 
2022 9 14 0 0.7102 
2022 9 15 0 0.7249 
2022 9 16 0 0.7650 
2022 9 17 0 0.7977 
2022 9 18 0 0.8241 
2022 9 19 0 0.8462 
2022 9 20 0 0.8660 
2022 9 21 0 0.8844 
2022 9 22 0 0.8708 
2022 9 23 0 0.8582 
2022 9 24 0 0.8467 
2022 9 25 0 0.8634 
2022 9 26 0 0.9245 
2022 9 27 0 1.0265 
2022 9 28 0 1.2038 
2022 9 29 0 1.2862 
2022 9 30 0 1.3192 
