RESERVOIR node 0 HJELLE
reservoir_init_fr= 0.67000  masl=754.205
Filling at HRW [Mm3] = 10.00000
Filling at LRW [Mm3] = 1.00000
Active reservoir capacity [Mm3] = 9.00000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2026 5 7 0 1.5000 24.8800 0.0000 0.0000 7.0259 753.9203 0.6695 0.0000 2.6400 0.0000 0.0000 0.0000 2.6400 
2026 5 7 1 1.3500 25.8500 0.0000 0.0000 7.0164 753.9104 0.6685 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 2 1.2400 28.0000 0.0000 0.0000 7.0079 753.9016 0.6675 0.0000 3.6000 0.0000 0.0000 0.0000 3.6000 
2026 5 7 3 1.5000 23.0000 0.0000 0.0000 7.0017 753.8953 0.6669 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2026 5 7 4 1.5500 35.0000 0.0000 0.0000 6.9968 753.8902 0.6663 0.0000 2.9200 0.0000 0.0000 0.0000 2.9200 
2026 5 7 5 1.6300 39.0000 0.0000 0.0000 6.9950 753.8884 0.6661 0.0000 2.1200 0.0000 0.0000 0.0000 2.1200 
2026 5 7 6 1.6000 45.0000 0.0000 0.0000 6.9969 753.8903 0.6663 0.0000 1.0800 0.0000 0.0000 0.0000 1.0800 
2026 5 7 7 1.4600 26.5600 0.0000 0.0000 6.9997 753.8932 0.6666 0.0000 0.6800 0.0000 0.0000 0.0000 0.6800 
2026 5 7 8 1.3500 52.9300 0.0000 0.0000 7.0039 753.8975 0.6671 0.0000 0.2000 0.0000 0.0000 0.0000 0.2000 
2026 5 7 9 1.3400 10.9400 0.0000 0.0000 7.0085 753.9023 0.6676 0.0000 0.0400 0.0000 0.0000 0.0000 0.0400 
2026 5 7 10 1.4500 10.0100 0.0000 0.0000 7.0138 753.9077 0.6682 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 11 0.0000 17.9500 0.0000 0.0000 7.0138 753.9077 0.6682 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 12 0.0000 82.5800 0.0000 0.0000 6.9994 753.8928 0.6666 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 13 0.0000 25.5000 0.0000 0.0000 6.9994 753.8928 0.6666 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 14 0.0000 55.8200 0.0000 0.0000 6.9850 753.8779 0.6650 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 15 0.0000 29.3900 0.0000 0.0000 6.9727 753.8652 0.6636 0.0000 3.4000 0.0000 0.0000 0.0000 3.4000 
2026 5 7 16 0.0000 46.9600 0.0000 0.0000 6.9583 753.8503 0.6620 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 17 0.0000 17.5900 0.0000 0.0000 6.9472 753.8389 0.6608 0.0000 3.0800 0.0000 0.0000 0.0000 3.0800 
2026 5 7 18 0.0000 88.3300 0.0000 0.0000 6.9328 753.8239 0.6592 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 19 0.0000 80.8200 0.0000 0.0000 6.9184 753.8090 0.6576 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 20 1.9100 88.8300 0.0000 0.0000 6.9109 753.8012 0.6568 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 21 1.7900 78.9000 0.0000 0.0000 6.9030 753.7930 0.6559 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 22 1.8800 59.9800 0.0000 0.0000 6.8953 753.7851 0.6550 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 23 2.0100 50.7100 0.0000 0.0000 6.8882 753.7777 0.6542 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 8 0 4.9400 99.0800 0.0000 0.0000 6.8915 753.7812 0.6546 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 8 1 9.5600 59.4000 0.0000 0.0000 6.9116 753.8019 0.6568 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 8 2 14.4000 16.8900 0.0000 0.0000 6.9526 753.8444 0.6614 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2026 5 8 3 26.1100 18.5200 0.0000 0.0000 7.0358 753.9306 0.6706 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2026 5 8 4 18.0100 27.1000 0.0000 0.0000 7.0898 753.9865 0.6766 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2026 5 8 5 13.5800 18.9700 0.0000 0.0000 7.1387 754.0371 0.6821 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 6 5.0000 16.0000 0.0000 0.0000 7.1567 754.0558 0.6841 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 7 6.0000 13.0000 0.0000 0.0000 7.1783 754.0781 0.6865 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 8 0.0000 11.0000 0.0000 0.0000 7.1783 754.0781 0.6865 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 9 0.0000 12.0000 0.0000 0.0000 7.1783 754.0781 0.6865 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 10 0.0000 13.0000 0.0000 0.0000 7.1783 754.0781 0.6865 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 11 0.0000 16.0000 0.0000 0.0000 7.1783 754.0781 0.6865 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 12 0.0000 12.0000 0.0000 0.0000 7.1783 754.0781 0.6865 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 13 0.0000 13.0000 0.0000 0.0000 7.1783 754.0781 0.6865 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 14 0.0000 12.0000 0.0000 0.0000 7.1783 754.0781 0.6865 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 15 0.0000 11.0000 0.0000 0.0000 7.1783 754.0781 0.6865 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 16 4.0000 8.0000 0.0000 0.0000 7.1927 754.0931 0.6881 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 17 8.0000 15.0000 0.0000 0.0000 7.2215 754.1229 0.6913 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 18 19.0000 12.0000 0.0000 0.0000 7.2899 754.1937 0.6989 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 19 3.0000 15.0000 0.0000 0.0000 7.3007 754.2049 0.7001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 20 0.0000 13.0000 0.0000 0.0000 7.3007 754.2049 0.7001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 21 0.0000 14.0000 0.0000 0.0000 7.3007 754.2049 0.7001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 22 0.0000 17.0000 0.0000 0.0000 7.3007 754.2049 0.7001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 23 0.0000 16.0000 0.0000 0.0000 7.3007 754.2049 0.7001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
