CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2026 5 7 0 2.6400 0.01331414 0.6083 0.0000 
2026 5 7 1 4.0000 0.02498322 0.7586 0.0000 
2026 5 7 2 3.6000 0.03360574 1.2049 0.0000 
2026 5 7 3 3.2000 0.03868440 1.7893 0.0000 
2026 5 7 4 2.9200 0.04091410 2.3006 0.0000 
2026 5 7 5 2.1200 0.03911665 2.6193 0.0000 
2026 5 7 6 1.0800 0.03329900 2.6960 0.0000 
2026 5 7 7 0.6800 0.02663884 2.5300 0.0000 
2026 5 7 8 0.2000 0.01950768 2.1809 0.0000 
2026 5 7 9 0.0400 0.01338776 1.7400 0.0000 
2026 5 7 10 0.0000 0.00873343 1.2929 0.0000 
2026 5 7 11 0.0000 0.00548756 0.9016 0.0000 
2026 5 7 12 4.0000 0.01736609 0.7004 0.0000 
2026 5 7 13 0.0000 0.01459734 0.7691 0.0000 
2026 5 7 14 4.0000 0.02535985 1.0104 0.0000 
2026 5 7 15 3.4000 0.03265816 1.3727 0.0000 
2026 5 7 16 4.0000 0.04039262 1.8515 0.0000 
2026 5 7 17 3.0800 0.04303316 2.3465 0.0000 
2026 5 7 18 4.0000 0.04751658 2.7546 0.0000 
2026 5 7 19 4.0000 0.05085807 3.0718 0.0000 
2026 5 7 20 4.0000 0.05326042 3.3327 0.0000 
2026 5 7 21 4.0000 0.05490059 3.5444 0.0000 
2026 5 7 22 4.0000 0.05596894 3.7032 0.0000 
2026 5 7 23 4.0000 0.05663820 3.8141 0.0000 
2026 5 8 0 4.0000 0.05704433 3.8872 0.0000 
2026 5 8 1 4.0000 0.05728447 3.9333 0.0000 
2026 5 8 2 3.0000 0.05391728 3.9353 0.0000 
2026 5 8 3 3.0000 0.05084252 3.8541 0.0000 
2026 5 8 4 3.0000 0.04834066 3.6950 0.0000 
2026 5 8 5 0.0000 0.03598007 3.4335 0.0000 
2026 5 8 6 0.0000 0.02525902 2.9781 0.0000 
2026 5 8 7 0.0000 0.01680489 2.3484 0.0000 
2026 5 8 8 0.0000 0.01069834 1.6963 0.0000 
2026 5 8 9 0.0000 0.00657385 1.1457 0.0000 
2026 5 8 10 0.0000 0.00392566 0.7356 0.0000 
2026 5 8 11 0.0000 0.00229018 0.4543 0.0000 
2026 5 8 12 0.0000 0.00131049 0.2721 0.0000 
2026 5 8 13 0.0000 0.00073783 0.1591 0.0000 
2026 5 8 14 0.0000 0.00040973 0.0911 0.0000 
2026 5 8 15 0.0000 0.00022486 0.0514 0.0000 
2026 5 8 16 0.0000 0.00012215 0.0285 0.0000 
2026 5 8 17 0.0000 0.00006576 0.0157 0.0000 
2026 5 8 18 0.0000 0.00003512 0.0085 0.0000 
2026 5 8 19 0.0000 0.00001863 0.0046 0.0000 
2026 5 8 20 0.0000 0.00000982 0.0024 0.0000 
2026 5 8 21 0.0000 0.00000515 0.0013 0.0000 
2026 5 8 22 0.0000 0.00000268 0.0007 0.0000 
2026 5 8 23 0.0000 0.00000139 0.0004 0.0000 
