Riversystem mini_uTAHPS_hourly reservoir fractions [fr] 
YYYY MM DD HH HJELLE 
2026 5 7 0 0.6695 
2026 5 7 1 0.6685 
2026 5 7 2 0.6675 
2026 5 7 3 0.6669 
2026 5 7 4 0.6663 
2026 5 7 5 0.6661 
2026 5 7 6 0.6663 
2026 5 7 7 0.6666 
2026 5 7 8 0.6671 
2026 5 7 9 0.6676 
2026 5 7 10 0.6682 
2026 5 7 11 0.6682 
2026 5 7 12 0.6666 
2026 5 7 13 0.6666 
2026 5 7 14 0.6650 
2026 5 7 15 0.6636 
2026 5 7 16 0.6620 
2026 5 7 17 0.6608 
2026 5 7 18 0.6592 
2026 5 7 19 0.6576 
2026 5 7 20 0.6568 
2026 5 7 21 0.6559 
2026 5 7 22 0.6550 
2026 5 7 23 0.6542 
2026 5 8 0 0.6546 
2026 5 8 1 0.6568 
2026 5 8 2 0.6614 
2026 5 8 3 0.6706 
2026 5 8 4 0.6766 
2026 5 8 5 0.6821 
2026 5 8 6 0.6841 
2026 5 8 7 0.6865 
2026 5 8 8 0.6865 
2026 5 8 9 0.6865 
2026 5 8 10 0.6865 
2026 5 8 11 0.6865 
2026 5 8 12 0.6865 
2026 5 8 13 0.6865 
2026 5 8 14 0.6865 
2026 5 8 15 0.6865 
2026 5 8 16 0.6881 
2026 5 8 17 0.6913 
2026 5 8 18 0.6989 
2026 5 8 19 0.7001 
2026 5 8 20 0.7001 
2026 5 8 21 0.7001 
2026 5 8 22 0.7001 
2026 5 8 23 0.7001 
