RESERVOIR node 0 HJELLE
reservoir_init_fr= 0.67000  masl=751.678
Filling at HRW [Mm3] = 12.03297
Filling at LRW [Mm3] = 3.00824
Active reservoir capacity [Mm3] = 9.02473
outlet_auto_qmin_masl [masl] = 745.500
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2023 12 1 0 1.2000 22.5000 0.0000 0.0000 9.0544 754.0296 0.6700 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 1 1.2000 13.1802 0.0000 0.0000 9.0541 754.0293 0.6699 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 2 1.2000 6.0289 0.0000 0.0000 9.0537 754.0289 0.6699 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 3 1.2000 1.5333 0.0000 0.0000 9.0534 754.0286 0.6698 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 4 1.2000 0.0000 0.0000 0.0000 9.0530 754.0282 0.6698 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 5 1.2000 1.5333 0.0000 0.0000 9.0526 754.0278 0.6698 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 6 1.2000 6.0289 0.0000 0.0000 9.0523 754.0275 0.6697 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 7 1.2000 13.1802 0.0000 0.0000 9.0519 754.0271 0.6697 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 8 1.2000 22.5000 0.0000 0.0000 9.0516 754.0268 0.6696 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 9 1.2000 33.3531 0.0000 0.0000 9.0512 754.0264 0.6696 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 10 1.2000 45.0000 0.0000 0.0000 9.0508 754.0261 0.6696 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 11 1.2000 56.6469 0.0000 0.0000 9.0505 754.0257 0.6695 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 12 1.2000 67.5000 0.0000 0.0000 9.0501 754.0253 0.6695 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 13 1.2000 76.8198 0.0000 0.0000 9.0498 754.0250 0.6694 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 14 1.2000 83.9711 0.0000 0.0000 9.0494 754.0246 0.6694 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 15 1.2000 88.4667 0.0000 0.0000 9.0490 754.0243 0.6694 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 16 1.2000 90.0000 0.0000 0.0000 9.0487 754.0239 0.6693 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 17 1.2000 88.4667 0.0000 0.0000 9.0483 754.0235 0.6693 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 18 1.2000 83.9711 0.0000 0.0000 9.0480 754.0232 0.6692 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
2023 12 1 19 1.2000 76.8198 0.0000 0.0000 9.0476 754.0228 0.6692 0.0000 0.0000 0.0000 0.0000 1.3000 1.3000 
