Riversystem mini_uTAHPS_qmin reservoir fractions [fr] 
YYYY MM DD HH HJELLE 
2023 12 1 0 0.6700 
2023 12 1 1 0.6699 
2023 12 1 2 0.6699 
2023 12 1 3 0.6698 
2023 12 1 4 0.6698 
2023 12 1 5 0.6698 
2023 12 1 6 0.6697 
2023 12 1 7 0.6697 
2023 12 1 8 0.6696 
2023 12 1 9 0.6696 
2023 12 1 10 0.6696 
2023 12 1 11 0.6695 
2023 12 1 12 0.6695 
2023 12 1 13 0.6694 
2023 12 1 14 0.6694 
2023 12 1 15 0.6694 
2023 12 1 16 0.6693 
2023 12 1 17 0.6693 
2023 12 1 18 0.6692 
2023 12 1 19 0.6692 
2023 12 1 20 0.6692 
2023 12 1 21 0.6691 
2023 12 1 22 0.6691 
2023 12 1 23 0.6690 
2023 12 2 0 0.6690 
2023 12 2 1 0.6690 
2023 12 2 2 0.6689 
2023 12 2 3 0.6689 
2023 12 2 4 0.6688 
2023 12 2 5 0.6688 
2023 12 2 6 0.6688 
2023 12 2 7 0.6687 
2023 12 2 8 0.6687 
2023 12 2 9 0.6686 
2023 12 2 10 0.6686 
2023 12 2 11 0.6686 
2023 12 2 12 0.6685 
2023 12 2 13 0.6685 
2023 12 2 14 0.6684 
2023 12 2 15 0.6684 
2023 12 2 16 0.6684 
2023 12 2 17 0.6683 
2023 12 2 18 0.6683 
2023 12 2 19 0.6682 
2023 12 2 20 0.6682 
2023 12 2 21 0.6682 
2023 12 2 22 0.6681 
2023 12 2 23 0.6681 
2023 12 3 0 0.6680 
2023 12 3 1 0.6680 
2023 12 3 2 0.6680 
2023 12 3 3 0.6679 
2023 12 3 4 0.6679 
2023 12 3 5 0.6678 
2023 12 3 6 0.6678 
2023 12 3 7 0.6678 
2023 12 3 8 0.6677 
2023 12 3 9 0.6677 
2023 12 3 10 0.6676 
2023 12 3 11 0.6676 
2023 12 3 12 0.6676 
2023 12 3 13 0.6675 
2023 12 3 14 0.6675 
2023 12 3 15 0.6674 
2023 12 3 16 0.6674 
2023 12 3 17 0.6674 
2023 12 3 18 0.6673 
2023 12 3 19 0.6673 
2023 12 3 20 0.6672 
2023 12 3 21 0.6672 
