CHANNEL node 3 ELV
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 3.89
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2026 5 7 0 0.5521 0.00594472 0.5675 0.0000 
2026 5 7 1 0.4011 0.00569945 0.4693 0.0000 
2026 5 7 2 0.2739 0.00517453 0.4197 0.0000 
2026 5 7 3 0.1772 0.00441886 0.3871 0.0000 
2026 5 7 4 0.1523 0.00371140 0.3488 0.0000 
2026 5 7 5 0.1567 0.00318239 0.3036 0.0000 
2026 5 7 6 0.6141 0.00441079 0.2728 0.0000 
2026 5 7 7 0.6458 0.00570733 0.2857 0.0000 
2026 5 7 8 0.6844 0.00693002 0.3448 0.0000 
2026 5 7 9 0.7271 0.00801157 0.4267 0.0000 
2026 5 7 10 0.7722 0.00895549 0.5100 0.0000 
2026 5 7 11 0.8187 0.00979396 0.5858 0.0000 
