RESERVOIR node 5 TOPPSY
reservoir_init_fr= 0.90000  masl=650.133
Filling at HRW [Mm3] = 395.17000
Filling at LRW [Mm3] = 268.53000
Active reservoir capacity [Mm3] = 126.64000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 0.2900 564.8800 0.0000 2.8315 382.7757 647.0699 0.9021 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 0 0.2600 425.8500 0.0000 3.1746 383.0724 647.1401 0.9045 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 3 0 0.2400 383.9200 0.0000 3.1995 383.3696 647.2103 0.9068 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 4 0 0.3000 310.1000 0.0000 3.2000 383.3509 647.2059 0.9067 0.0000 3.7170 0.0000 0.0000 0.0000 3.7170 
2022 9 5 0 0.3000 388.8400 0.0000 3.2000 383.2455 647.1810 0.9058 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 6 0 0.3100 414.3500 0.0000 3.2000 383.1409 647.1562 0.9050 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 7 0 0.3000 451.5300 0.0000 3.2000 383.0355 647.1313 0.9042 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 8 0 0.2800 426.5600 0.0000 3.2000 382.9284 647.1060 0.9033 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 9 0 0.2600 352.9300 0.0000 3.2000 382.8195 647.0803 0.9025 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 10 0 0.2500 410.9400 0.0000 3.2000 382.7098 647.0543 0.9016 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 11 0 0.2700 400.0100 0.0000 3.2000 382.6018 647.0288 0.9008 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 12 0 0.5500 407.9500 0.0000 3.2000 382.5180 647.0090 0.9001 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 13 0 1.9500 382.5800 0.0000 3.2000 382.5551 647.0178 0.9004 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 14 0 1.2600 425.5000 0.0000 3.2000 382.5327 647.0124 0.9002 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 15 0 1.0100 355.8200 0.0000 3.2000 382.4886 647.0020 0.8999 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 16 0 0.8200 329.3900 0.0000 3.2000 382.4281 646.9877 0.8994 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 17 0 0.6700 246.9600 0.0000 3.2000 382.3547 646.9704 0.8988 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 18 0 0.5400 117.5900 0.0000 3.2000 382.2700 646.9504 0.8981 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 19 0 0.4500 288.3300 0.0000 3.2000 382.1776 646.9285 0.8974 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 20 0 0.4100 380.8200 0.0000 3.2000 382.0817 646.9058 0.8966 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 21 0 0.3800 388.8300 0.0000 3.2000 381.9832 646.8825 0.8959 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 22 0 0.3500 378.9000 0.0000 3.2000 381.8821 646.8586 0.8951 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 23 0 0.3700 359.9800 0.0000 3.2000 381.7827 646.8352 0.8943 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 24 0 0.4000 350.7100 0.0000 3.2000 381.6859 646.8123 0.8935 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
