Date_NodeID	1_0	6_0	7_0	10_0	10_1
20220901	1.00	1.00	1.00	1.00	1.00
20220902	0.80	0.80	0.80	0.80	0.25
20220903	0.70	0.70	0.70	0.70	0.19
20220904	0.80	0.63	0.63	0.63	0.28
20220905	0.10	0.10	0.10	0.10	0.53
20220906	0.00	0.00	0.00	0.00	0.51
20220907	0.80	0.80	0.80	0.80	0.01
20220908	0.80	0.80	0.80	0.80	0.87
20220909	0.80	0.80	0.80	0.80	0.99
20220910	0.80	0.80	0.80	0.80	0.67
20220911	0.80	0.80	0.80	0.80	0.20
20220912	0.80	0.80	0.80	0.80	0.82
20220913	0.80	0.80	0.80	0.80	0.70
20220914	0.80	0.80	0.80	0.80	0.56
20220915	0.80	0.80	0.80	0.80	0.15
20220916	0.80	0.80	0.80	0.80	0.02
20220917	0.50	0.50	0.80	0.50	0.44
20220918	1.00	1.00	0.80	1.00	0.69
20220919	0.80	0.80	0.80	0.80	0.23
20220920	0.80	0.80	0.80	0.80	0.43
20220921	0.80	0.80	0.00	0.80	0.10
20220922	0.80	0.80	0.00	0.80	0.75
20220923	0.80	0.80	0.00	0.80	0.11
20220924	0.80	0.80	0.00	0.80	0.64
20220925	0.80	0.80	0.00	0.80	0.88
20220926	0.80	0.80	0.00	0.80	0.47
20220927	0.80	0.80	0.00	0.80	0.92
20220928	0.80	0.80	0.00	0.80	0.17
20220929	0.80	0.80	0.00	0.80	0.55
20220930	0.80	0.80	0.00	0.80	0.86
20221001	0.80	0.80	0.00	0.80	0.10
20221002	0.80	0.80	0.00	0.80	0.62
20221003	0.80	0.80	0.00	0.80	0.64
20221004	0.80	0.80	0.00	0.80	0.06
20221005	0.80	0.80	0.00	0.80	0.13
20221006	0.80	0.80	0.00	0.80	0.61
20221007	0.80	0.80	0.00	0.80	0.62
20221008	0.80	0.80	0.00	0.80	0.89
20221009	0.80	0.80	0.00	0.80	0.95
20221010	0.80	0.80	0.00	0.80	0.44
20221011	0.80	0.80	0.00	0.80	0.14
20221012	0.80	0.80	0.00	0.80	0.41
20221013	0.80	0.80	0.00	0.80	0.25
20221014	0.80	0.80	0.00	0.80	0.75
20221015	0.80	0.80	0.00	0.80	0.33
20221016	0.80	0.80	0.00	0.80	0.57
20221017	0.80	0.80	0.00	0.80	0.45
20221018	0.80	0.80	0.00	0.80	0.82
20221019	0.80	0.80	0.00	0.80	0.12
20221020	0.80	0.80	0.00	0.80	0.44
20221021	0.80	0.80	0.00	0.80	0.69
20221022	0.80	0.80	0.00	0.80	0.15
20221023	0.80	0.80	0.00	0.80	0.81
20221024	0.80	0.80	0.00	0.80	0.88
20221025	0.80	0.80	0.00	0.80	0.42
20221026	0.80	0.80	0.00	0.80	0.58
20221027	0.80	0.80	0.00	0.80	0.03
20221028	0.80	0.80	0.00	0.80	0.97
20221029	0.80	0.80	0.00	0.80	0.58
20221030	0.80	0.80	0.00	0.80	0.09
20221031	0.80	0.80	0.00	0.80	0.24
20221101	0.80	0.80	0.00	0.80	0.20
20221102	0.80	0.80	0.00	0.80	0.26
20221103	0.80	0.80	0.00	0.80	0.37
20221104	0.80	0.80	0.00	0.80	0.40
20221105	0.80	0.80	0.00	0.80	0.63
20221106	0.80	0.80	0.00	0.80	0.99
20221107	0.80	0.80	0.00	0.80	0.90
20221108	0.80	0.80	0.00	0.80	0.47
20221109	0.80	0.80	0.00	0.80	0.29
20221110	0.80	0.80	0.00	0.80	0.56
20221111	0.80	0.80	0.00	0.80	0.99
20221112	0.80	0.80	0.00	0.80	0.18
20221113	0.80	0.80	0.00	0.80	0.23
20221114	0.80	0.80	0.00	0.80	0.63
20221115	0.80	0.80	0.00	0.80	0.56
20221116	0.80	0.80	0.00	0.80	0.07
20221117	0.80	0.80	0.00	0.80	0.01
20221118	0.80	0.80	0.00	0.80	0.88
20221119	0.80	0.80	0.00	0.80	0.18
20221120	0.80	0.80	0.00	0.80	0.73
20221121	0.80	0.80	0.00	0.80	0.57
20221122	0.80	0.80	0.00	0.80	0.69
20221123	0.80	0.80	0.00	0.80	0.21
20221124	0.80	0.80	0.00	0.80	0.06
20221125	0.80	0.80	0.00	0.80	0.68
20221126	0.80	0.80	0.00	0.80	0.33
20221127	0.80	0.80	0.00	0.80	0.95
20221128	0.80	0.80	0.00	0.80	0.96
20221129	0.80	0.80	0.00	0.80	0.20
20221130	0.80	0.80	0.00	0.80	0.19
20221201	0.80	0.80	0.00	0.80	0.30
20221202	0.80	0.80	0.00	0.80	0.45
20221203	0.80	0.80	0.00	0.80	0.90
20221204	0.80	0.80	0.00	0.80	0.54
20221205	0.80	0.80	0.00	0.80	0.37
20221206	0.80	0.80	0.00	0.80	0.29
20221207	0.80	0.80	0.00	0.80	0.47
20221208	0.80	0.80	0.80	0.80	0.39
20221209	0.80	0.80	0.80	0.80	0.28
20221210	0.80	0.80	0.80	0.80	0.40
20221211	0.80	0.80	0.80	0.80	0.32
20221212	0.00	0.80	0.80	0.80	0.51
20221213	0.00	0.80	0.80	0.80	0.59
20221214	0.00	0.80	0.80	0.80	0.18
20221215	0.00	0.80	0.80	0.80	0.22
20221216	0.00	0.80	0.80	0.80	0.21
20221217	0.00	0.80	0.80	0.80	0.44
20221218	0.00	0.80	0.80	0.80	0.22
20221219	0.00	0.80	0.80	0.80	0.25
20221220	0.00	0.80	0.80	0.80	0.39
20221221	0.00	0.80	0.80	0.80	0.23
20221222	0.00	0.80	0.80	0.80	0.36
20221223	0.00	0.80	0.80	0.80	0.59
20221224	0.00	0.80	0.80	0.80	0.68
20221225	0.00	0.80	0.80	0.80	0.23
