RESERVOIR node 0 HJELLE
reservoir_init_fr= 1.00000  masl=749.735
Filling at HRW [Mm3] = 12.03297
Filling at LRW [Mm3] = 3.00824
Active reservoir capacity [Mm3] = 9.02473
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 0.3500 564.8800 0.0000 0.0000 11.7176 756.6855 0.9651 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2022 9 2 0 0.3100 425.8500 0.0000 0.0000 11.4679 756.4365 0.9374 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 3 0 0.2800 383.9200 0.0000 0.0000 11.2502 756.2194 0.9133 0.0000 2.8000 0.0000 0.0000 0.0000 2.8000 
2022 9 4 0 0.3200 310.1000 0.0000 0.0000 11.0014 755.9712 0.8857 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 5 0 0.3800 388.8400 0.0000 0.0000 10.9996 755.9695 0.8855 0.0000 0.4000 0.0000 0.0000 0.0000 0.4000 
2022 9 6 0 0.4600 414.3500 0.0000 0.0000 11.0394 756.0091 0.8899 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 7 0 0.4700 451.5300 0.0000 0.0000 10.8035 755.7739 0.8638 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 8 0 0.4200 426.5600 0.0000 0.0000 10.5633 755.5344 0.8372 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 9 0 0.3800 352.9300 0.0000 0.0000 10.3197 755.2914 0.8102 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 10 0 0.4000 410.9400 0.0000 0.0000 10.0777 755.0501 0.7833 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 11 0 0.4800 400.0100 0.0000 0.0000 9.8427 754.8158 0.7573 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 12 0 0.7000 407.9500 0.0000 0.0000 9.6267 754.6004 0.7334 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
