CHANNEL node 11 HYNNEKLEIV
N_CASCADE_LINRES 2
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 1 0 24.8000 0.34223799 20.8389 0.0000 
2022 9 2 0 11.5900 0.17482289 13.5277 0.0000 
2022 9 3 0 9.7100 0.14095225 10.1020 0.0000 
2022 9 4 0 10.3740 0.14898716 10.2810 0.0000 
2022 9 5 0 8.9300 0.12945851 9.1560 0.0000 
2022 9 6 0 7.6500 0.11092811 7.8645 0.0000 
2022 9 7 0 7.9900 0.11485198 7.9446 0.0000 
2022 9 8 0 20.8900 0.29307495 18.8272 0.0000 
2022 9 9 0 22.6900 0.32565576 22.3129 0.0000 
2022 9 10 0 17.8900 0.26049638 18.6442 0.0000 
2022 9 11 0 10.8400 0.16032661 11.9994 0.0000 
2022 9 12 0 20.1400 0.28443530 18.7036 0.0000 
2022 9 13 0 18.3400 0.26517608 18.5629 0.0000 
2022 9 14 0 16.2400 0.23511619 16.5879 0.0000 
2022 9 15 0 10.0900 0.14898652 11.0869 0.0000 
2022 9 16 0 8.1400 0.11838621 8.4942 0.0000 
2022 9 17 0 11.5000 0.16358374 10.9769 0.0000 
2022 9 18 0 20.1500 0.28496927 18.7451 0.0000 
2022 9 19 0 11.2900 0.16789266 12.6451 0.0000 
2022 9 20 0 14.2900 0.20397583 13.8724 0.0000 
2022 9 21 0 9.3400 0.13746638 10.1098 0.0000 
2022 9 22 0 19.0900 0.26904525 17.5671 0.0000 
2022 9 23 0 9.4900 0.14241671 10.9556 0.0000 
2022 9 24 0 17.4400 0.24636542 16.2369 0.0000 
2022 9 25 0 21.0400 0.30081565 20.4098 0.0000 
2022 9 26 0 14.8900 0.21810647 15.8473 0.0000 
2022 9 27 0 21.6400 0.30756550 20.6046 0.0000 
2022 9 28 0 10.3900 0.15636686 12.1400 0.0000 
2022 9 29 0 16.0900 0.22827562 15.2577 0.0000 
2022 9 30 0 20.7400 0.29586559 19.9577 0.0000 
2022 10 1 0 9.3400 0.14133689 11.1285 0.0000 
2022 10 2 0 17.1400 0.24213545 15.9734 0.0000 
2022 10 3 0 17.4400 0.25095592 17.3379 0.0000 
2022 10 4 0 8.7400 0.13107670 10.1275 0.0000 
2022 10 5 0 9.7900 0.14034598 9.6827 0.0000 
2022 10 6 0 16.9900 0.24033541 15.8327 0.0000 
2022 10 7 0 17.1400 0.24672594 17.0660 0.0000 
2022 10 8 0 21.1900 0.30270567 20.5421 0.0000 
2022 10 9 0 22.0900 0.31755590 21.9181 0.0000 
2022 10 10 0 14.4400 0.21252661 15.6556 0.0000 
2022 10 11 0 9.9400 0.14583642 10.7119 0.0000 
2022 10 12 0 13.9900 0.19902571 13.3744 0.0000 
2022 10 13 0 11.5900 0.16833617 11.9452 0.0000 
2022 10 14 0 19.0900 0.27039541 17.9088 0.0000 
2022 10 15 0 12.7900 0.18795646 13.7442 0.0000 
2022 10 16 0 16.3900 0.23385575 15.8588 0.0000 
