RESERVOIR node 3 GRESSE
reservoir_init_fr= 1.00000  masl=747.001
Filling at HRW [Mm3] = 24.06594
Filling at LRW [Mm3] = 15.04121
Active reservoir capacity [Mm3] = 9.02473
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 0.2200 564.8800 0.0000 0.0000 23.5665 748.5020 0.9447 0.0000 6.0000 0.0000 0.0000 0.0000 6.0000 
2022 9 2 0 0.2000 425.8500 0.0000 0.0000 23.1691 748.1056 0.9006 0.0000 4.8000 0.0000 0.0000 0.0000 4.8000 
2022 9 3 0 0.1800 383.9200 0.0000 0.0000 22.8218 747.7592 0.8621 0.0000 4.2000 0.0000 0.0000 0.0000 4.2000 
2022 9 4 0 0.2100 310.1000 0.0000 0.0000 22.5133 747.4516 0.8280 0.0000 3.7800 0.0000 0.0000 0.0000 3.7800 
2022 9 5 0 0.2300 388.8400 0.0000 0.0000 22.4814 747.4198 0.8244 0.0000 0.6000 0.0000 0.0000 0.0000 0.6000 
2022 9 6 0 0.2700 414.3500 0.0000 0.0000 22.5047 747.4430 0.8270 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 7 0 0.2700 451.5300 0.0000 0.0000 22.1133 747.0527 0.7836 0.0000 4.8000 0.0000 0.0000 0.0000 4.8000 
2022 9 8 0 0.2400 426.5600 0.0000 0.0000 21.7193 746.6598 0.7400 0.0000 4.8000 0.0000 0.0000 0.0000 4.8000 
2022 9 9 0 0.2200 352.9300 0.0000 0.0000 21.3236 746.2652 0.6961 0.0000 4.8000 0.0000 0.0000 0.0000 4.8000 
2022 9 10 0 0.2300 410.9400 0.0000 0.0000 20.9288 745.8714 0.6524 0.0000 4.8000 0.0000 0.0000 0.0000 4.8000 
2022 9 11 0 0.2600 400.0100 0.0000 0.0000 20.5365 745.4802 0.6089 0.0000 4.8000 0.0000 0.0000 0.0000 4.8000 
2022 9 12 0 0.4300 407.9500 0.0000 0.0000 20.1589 745.1037 0.5671 0.0000 4.8000 0.0000 0.0000 0.0000 4.8000 
2022 9 13 0 1.3000 382.5800 0.0000 0.0000 19.8565 744.8021 0.5336 0.0000 4.8000 0.0000 0.0000 0.0000 4.8000 
2022 9 14 0 0.8900 425.5000 0.0000 0.0000 19.5187 744.4652 0.4961 0.0000 4.8000 0.0000 0.0000 0.0000 4.8000 
2022 9 15 0 0.7300 355.8200 0.0000 0.0000 19.1671 744.1145 0.4572 0.0000 4.8000 0.0000 0.0000 0.0000 4.8000 
2022 9 16 0 0.5900 329.3900 0.0000 0.0000 18.8033 743.7518 0.4169 0.0000 4.8000 0.0000 0.0000 0.0000 4.8000 
2022 9 17 0 0.4800 246.9600 0.0000 0.0000 18.4301 743.3796 0.3755 0.0000 4.8000 0.0000 0.0000 0.0000 4.8000 
2022 9 18 0 0.3900 117.5900 0.0000 0.0000 18.0490 742.9996 0.3333 0.0000 4.8000 0.0000 0.0000 0.0000 4.8000 
2022 9 19 0 0.3300 288.3300 0.0000 0.0000 17.6628 742.6144 0.2905 0.0000 4.8000 0.0000 0.0000 0.0000 4.8000 
2022 9 20 0 0.2900 380.8200 0.0000 0.0000 17.2732 742.2258 0.2473 0.0000 4.8000 0.0000 0.0000 0.0000 4.8000 
2022 9 21 0 0.2700 388.8300 0.0000 0.0000 17.2965 742.2491 0.2499 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 22 0 0.2500 378.9000 0.0000 0.0000 17.3181 742.2706 0.2523 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 23 0 0.2600 359.9800 0.0000 0.0000 17.3406 742.2931 0.2548 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 24 0 0.2700 350.7100 0.0000 0.0000 17.3639 742.3163 0.2574 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 25 0 1.0400 299.0800 0.0000 0.0000 17.4537 742.4059 0.2673 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 26 0 1.8000 259.4000 0.0000 0.0000 17.6093 742.5610 0.2846 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 27 0 2.4100 306.8900 0.0000 0.0000 17.8175 742.7687 0.3076 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 28 0 3.7300 308.5200 0.0000 0.0000 18.1398 743.0901 0.3433 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 29 0 2.5300 347.1000 0.0000 0.0000 18.3584 743.3081 0.3676 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 30 0 1.9000 278.9700 0.0000 0.0000 18.5225 743.4718 0.3858 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 10 1 0 3.7600 90.2400 0.0000 0.0000 18.8474 743.7957 0.4217 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 10 2 0 4.1900 182.7200 0.0000 0.0000 19.2094 744.1568 0.4619 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 10 3 0 3.5100 234.6000 0.0000 0.0000 19.5127 744.4592 0.4955 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 10 4 0 3.2600 199.0100 0.0000 0.0000 19.7943 744.7401 0.5267 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 10 5 0 5.9200 51.1100 0.0000 0.0000 20.3058 745.2502 0.5834 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 10 6 0 8.5500 23.8700 0.0000 0.0000 21.0445 745.9869 0.6652 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 10 7 0 4.0200 30.2900 0.0000 0.0000 21.3919 746.3332 0.7037 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 10 8 0 3.6300 53.3800 0.0000 0.0000 21.7055 746.6460 0.7384 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 10 9 0 2.8700 91.9400 0.0000 0.0000 21.9535 746.8933 0.7659 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 10 10 0 2.4900 137.7100 0.0000 0.0000 22.1686 747.1079 0.7898 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 10 11 0 2.4000 174.3200 0.0000 0.0000 22.3760 747.3146 0.8127 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 10 12 0 2.0400 199.9900 0.0000 0.0000 22.5522 747.4904 0.8323 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 10 13 0 1.8400 233.6000 0.0000 0.0000 22.7112 747.6490 0.8499 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 10 14 0 1.6100 217.2400 0.0000 0.0000 22.8503 747.7877 0.8653 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 10 15 0 2.6200 154.6600 0.0000 0.0000 23.0767 748.0134 0.8904 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 10 16 0 3.1000 113.2100 0.0000 0.0000 23.3445 748.2805 0.9201 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
