CHANNEL node 4 GRONANI
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 1.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 1 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 2 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 4 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 5 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 6 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 7 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 8 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 9 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 10 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 11 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 12 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 13 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 14 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 15 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 16 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 17 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 18 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 19 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 20 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 21 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 22 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 23 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 24 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 25 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 26 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 27 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 28 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 29 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 30 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 1 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 2 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 3 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 4 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 5 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 6 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 7 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 8 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 9 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 10 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 11 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 12 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 13 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 14 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 15 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 16 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 17 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 18 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 19 0 0.0000 0.00000000 0.0000 0.0000 
2022 10 20 0 0.5731 0.00203472 0.5496 0.0000 
2022 10 21 0 1.2156 0.00434413 1.1889 0.0000 
2022 10 22 0 1.4224 0.00511020 1.4135 0.0000 
2022 10 23 0 2.3836 0.00853292 2.3439 0.0000 
2022 10 24 0 3.3281 0.01193391 3.2887 0.0000 
2022 10 25 0 2.8341 0.01022699 2.8538 0.0000 
2022 10 26 0 5.9339 0.02120788 5.8068 0.0000 
2022 10 27 0 3.4903 0.01268608 3.5890 0.0000 
2022 10 28 0 2.8005 0.01011686 2.8303 0.0000 
2022 10 29 0 3.1566 0.01134633 3.1424 0.0000 
2022 10 30 0 2.9351 0.01057728 2.9440 0.0000 
2022 10 31 0 2.0822 0.00753826 2.1173 0.0000 
2022 11 1 0 1.9862 0.00715543 1.9907 0.0000 
2022 11 2 0 3.0301 0.01085647 2.9873 0.0000 
2022 11 3 0 6.4863 0.02317838 6.3437 0.0000 
2022 11 4 0 6.3753 0.02295588 6.3779 0.0000 
2022 11 5 0 5.4073 0.01951434 5.4471 0.0000 
2022 11 6 0 4.0496 0.01464619 4.1059 0.0000 
2022 11 7 0 5.3890 0.01933398 5.3347 0.0000 
2022 11 8 0 4.5446 0.01640230 4.5785 0.0000 
2022 11 9 0 5.4722 0.01965402 5.4346 0.0000 
2022 11 10 0 4.1136 0.01487628 4.1689 0.0000 
2022 11 11 0 3.3884 0.01223482 3.4190 0.0000 
2022 11 12 0 2.7944 0.01008960 2.8192 0.0000 
2022 11 13 0 2.3741 0.00856796 2.3918 0.0000 
2022 11 14 0 2.1752 0.00784066 2.1836 0.0000 
2022 11 15 0 2.5674 0.00922310 2.5514 0.0000 
2022 11 16 0 3.6242 0.01299449 3.5806 0.0000 
2022 11 17 0 6.7287 0.02406841 6.6005 0.0000 
2022 11 18 0 3.2109 0.01173363 3.3537 0.0000 
2022 11 19 0 2.2589 0.00818039 2.3001 0.0000 
2022 11 20 0 2.1870 0.00787702 2.1905 0.0000 
2022 11 21 0 1.6951 0.00612701 1.7154 0.0000 
2022 11 22 0 1.4187 0.00512107 1.4303 0.0000 
2022 11 23 0 1.5182 0.00546068 1.5143 0.0000 
2022 11 24 0 1.6568 0.00595773 1.6511 0.0000 
2022 11 25 0 2.4445 0.00876098 2.4121 0.0000 
2022 11 26 0 3.6213 0.01297780 3.5725 0.0000 
2022 11 27 0 4.0962 0.01472243 4.0760 0.0000 
2022 11 28 0 5.4330 0.01949226 5.3778 0.0000 
2022 11 29 0 3.6018 0.01305722 3.6763 0.0000 
2022 11 30 0 2.5735 0.00931631 2.6168 0.0000 
2022 12 1 0 1.9998 0.00722804 2.0240 0.0000 
2022 12 2 0 1.6664 0.00601587 1.6805 0.0000 
2022 12 3 0 1.4185 0.00511897 1.4289 0.0000 
2022 12 4 0 1.2691 0.00457626 1.2754 0.0000 
2022 12 5 0 1.1639 0.00419517 1.1683 0.0000 
2022 12 6 0 1.1225 0.00404301 1.1242 0.0000 
2022 12 7 0 1.0888 0.00392154 1.0903 0.0000 
2022 12 8 0 0.0000 0.00005420 0.0448 0.0000 
2022 12 9 0 0.0000 0.00000025 0.0006 0.0000 
2022 12 10 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 11 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 12 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 13 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 14 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 15 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 16 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 17 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 18 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 19 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 20 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 21 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 22 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 23 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 24 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 25 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 26 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 27 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 28 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 29 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 30 0 0.0000 0.00000000 0.0000 0.0000 
2022 12 31 0 0.0000 0.00000000 0.0000 0.0000 
2023 1 1 0 0.0000 0.00000000 0.0000 0.0000 
2023 1 2 0 0.0000 0.00000000 0.0000 0.0000 
2023 1 3 0 0.0000 0.00000000 0.0000 0.0000 
2023 1 4 0 0.0000 0.00000000 0.0000 0.0000 
2023 1 5 0 0.0000 0.00000000 0.0000 0.0000 
2023 1 6 0 0.0000 0.00000000 0.0000 0.0000 
