RESERVOIR node 5 TOPPSY
reservoir_init_fr= 0.80000  masl=648.828
Filling at HRW [Mm3] = 40.10990
Filling at LRW [Mm3] = 10.02747
Active reservoir capacity [Mm3] = 30.08242
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 0.2900 564.8800 0.0000 3.3697 33.8999 643.8070 0.7936 0.0000 5.9000 0.0000 0.0000 0.0000 5.9000 
2022 9 2 0 0.2600 425.8500 0.0000 3.2904 33.7988 643.7062 0.7902 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 3 0 0.2400 383.9200 0.0000 2.8695 33.7106 643.6183 0.7873 0.0000 4.1300 0.0000 0.0000 0.0000 4.1300 
2022 9 4 0 0.3000 310.1000 0.0000 3.1407 33.6867 643.5944 0.7865 0.0000 3.7170 0.0000 0.0000 0.0000 3.7170 
2022 9 5 0 0.3000 388.8400 0.0000 0.8377 33.7341 643.6416 0.7881 0.0000 0.5900 0.0000 0.0000 0.0000 0.5900 
2022 9 6 0 0.3100 414.3500 0.0000 0.0879 33.7685 643.6759 0.7892 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 7 0 0.3000 451.5300 0.0000 2.6998 33.6198 643.5277 0.7843 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 8 0 0.2800 426.5600 0.0000 3.1715 33.5102 643.4184 0.7806 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 9 0 0.2600 352.9300 0.0000 3.1995 33.4013 643.3098 0.7770 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 10 0 0.2500 410.9400 0.0000 3.2000 33.2916 643.2004 0.7733 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 11 0 0.2700 400.0100 0.0000 3.2000 33.1836 643.0927 0.7698 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 12 0 0.5500 407.9500 0.0000 3.2000 33.0998 643.0091 0.7670 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 13 0 1.9500 382.5800 0.0000 3.2000 33.1369 643.0461 0.7682 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 14 0 1.2600 425.5000 0.0000 3.2000 33.1145 643.0237 0.7675 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 15 0 1.0100 355.8200 0.0000 3.2000 33.0704 642.9798 0.7660 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 16 0 0.8200 329.3900 0.0000 3.2000 33.0099 642.9195 0.7640 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 17 0 0.6700 246.9600 0.0000 2.1891 33.0021 642.9117 0.7637 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 18 0 0.5400 117.5900 0.0000 3.6955 32.8583 642.7682 0.7589 0.0000 5.9000 0.0000 0.0000 0.0000 5.9000 
2022 9 19 0 0.4500 288.3300 0.0000 3.3084 32.7752 642.6854 0.7562 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 20 0 0.4100 380.8200 0.0000 3.2068 32.6799 642.5903 0.7530 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 21 0 0.3800 388.8300 0.0000 3.2001 32.5814 642.4921 0.7497 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 22 0 0.3500 378.9000 0.0000 3.2000 32.4803 642.3913 0.7464 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 23 0 0.3700 359.9800 0.0000 3.2000 32.3809 642.2922 0.7431 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 24 0 0.4000 350.7100 0.0000 3.2000 32.2842 642.1957 0.7399 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 25 0 0.8900 299.0800 0.0000 3.2000 32.2297 642.1414 0.7380 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 26 0 1.7700 259.4000 0.0000 3.2000 32.2513 642.1630 0.7388 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 27 0 2.7400 306.8900 0.0000 3.2000 32.3567 642.2681 0.7423 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 28 0 5.1200 308.5200 0.0000 3.2000 32.6678 642.5783 0.7526 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 29 0 3.5400 347.1000 0.0000 3.2000 32.8423 642.7523 0.7584 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 9 30 0 2.6700 278.9700 0.0000 3.2000 32.9417 642.8514 0.7617 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 1 0 5.5800 90.2400 0.0000 3.2000 33.2925 643.2012 0.7734 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 2 0 5.6600 182.7200 0.0000 3.2000 33.6502 643.5580 0.7853 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 3 0 4.4400 234.6000 0.0000 3.2000 33.9024 643.8096 0.7937 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 4 0 3.8000 199.0100 0.0000 3.2000 34.0994 644.0060 0.8002 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 5 0 5.4300 51.1100 0.0000 3.2000 34.4373 644.3429 0.8114 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 6 0 7.5400 23.8700 0.0000 3.2000 34.9574 644.8616 0.8287 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 7 0 4.8800 30.2900 0.0000 3.2000 35.2477 645.1511 0.8384 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 8 0 4.8500 53.3800 0.0000 3.2000 35.5354 645.4380 0.8479 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 9 0 3.8300 91.9400 0.0000 3.2000 35.7350 645.6371 0.8546 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 10 0 3.3700 137.7100 0.0000 3.2000 35.8948 645.7965 0.8599 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 11 0 3.2800 174.3200 0.0000 3.2000 36.0469 645.9481 0.8649 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 12 0 2.7700 199.9900 0.0000 3.2000 36.1549 646.0558 0.8685 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 13 0 2.5500 233.6000 0.0000 3.2000 36.2439 646.1446 0.8715 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 14 0 2.2600 217.2400 0.0000 3.2000 36.3078 646.2083 0.8736 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 15 0 3.9400 154.6600 0.0000 3.2000 36.5169 646.4169 0.8806 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 16 0 4.7500 113.2100 0.0000 3.2000 36.7960 646.6952 0.8898 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 17 0 4.5000 146.2200 0.0000 3.2000 37.0534 646.9519 0.8984 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 18 0 4.2600 163.8200 0.0000 3.2000 37.2902 647.1880 0.9063 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 19 0 3.6700 159.7000 0.0000 3.2000 37.4759 647.3733 0.9124 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 20 0 3.0000 142.1100 0.0000 3.7496 37.6513 647.5481 0.9183 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 21 0 2.5200 157.4800 0.0000 4.3889 37.8404 647.7367 0.9246 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 22 0 2.2200 142.0700 0.0000 4.6135 38.0230 647.9188 0.9306 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 23 0 2.8100 99.6700 0.0000 5.5439 38.3370 648.2320 0.9411 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 24 0 3.3600 85.2000 0.0000 6.4887 38.7801 648.6739 0.9558 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 25 0 3.3100 110.5100 0.0000 6.0538 39.1814 649.0740 0.9691 0.0000 4.7200 0.0000 0.0000 0.0000 4.7200 
2022 10 26 0 5.1600 121.4900 0.0000 12.2249 40.2280 650.1178 1.0039 0.0000 4.7200 0.0000 0.5508 0.0000 5.2708 
2022 10 27 0 3.5900 117.6600 0.0000 10.2885 40.7581 650.6464 1.0215 0.0000 4.7200 0.0000 3.0230 0.0000 7.7430 
2022 10 28 0 2.9100 103.2200 0.0000 8.0637 40.9571 650.8448 1.0282 0.0000 4.7200 0.0000 3.9509 0.0000 8.6709 
2022 10 29 0 3.2900 101.6200 0.0000 8.9434 41.1765 651.0636 1.0355 0.0000 4.7200 0.0000 4.9741 0.0000 9.6941 
