CHANNEL node 8 DALSANA
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 6.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 1 0 11.9000 0.23621367 9.1660 0.0000 
2022 9 2 0 9.5200 0.20920203 9.8326 0.0000 
2022 9 3 0 8.3300 0.18212967 8.6433 0.0000 
2022 9 4 0 7.4970 0.16345257 7.7132 0.0000 
2022 9 5 0 1.1900 0.03678362 2.6561 0.0000 
2022 9 6 0 0.0000 0.00239811 0.3980 0.0000 
2022 9 7 0 9.5200 0.18903047 7.3599 0.0000 
2022 9 8 0 9.5200 0.20515581 9.3334 0.0000 
2022 9 9 0 9.5200 0.20563199 9.5145 0.0000 
2022 9 10 0 9.5200 0.20563200 9.5200 0.0000 
2022 9 11 0 9.5200 0.20563200 9.5200 0.0000 
2022 9 12 0 9.5200 0.20563200 9.5200 0.0000 
2022 9 13 0 9.5200 0.20563200 9.5200 0.0000 
2022 9 14 0 9.5200 0.20563200 9.5200 0.0000 
2022 9 15 0 9.5200 0.20563200 9.5200 0.0000 
2022 9 16 0 9.5200 0.20563200 9.5200 0.0000 
2022 9 17 0 7.7500 0.17049770 8.1566 0.0000 
2022 9 18 0 10.7000 0.22604571 10.0571 0.0000 
2022 9 19 0 9.5200 0.20754958 9.7341 0.0000 
2022 9 20 0 9.5200 0.20569102 9.5415 0.0000 
2022 9 21 0 4.7200 0.11035254 5.8235 0.0000 
2022 9 22 0 4.7200 0.10219210 4.8144 0.0000 
2022 9 23 0 4.7200 0.10195201 4.7228 0.0000 
2022 9 24 0 4.7200 0.10195200 4.7200 0.0000 
2022 9 25 0 4.7200 0.10195200 4.7200 0.0000 
2022 9 26 0 4.7200 0.10195200 4.7200 0.0000 
2022 9 27 0 4.7200 0.10195200 4.7200 0.0000 
2022 9 28 0 4.7200 0.10195200 4.7200 0.0000 
2022 9 29 0 4.7200 0.10195200 4.7200 0.0000 
2022 9 30 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 1 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 2 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 3 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 4 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 5 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 6 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 7 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 8 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 9 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 10 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 11 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 12 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 13 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 14 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 15 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 16 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 17 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 18 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 19 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 20 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 21 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 22 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 23 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 24 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 25 0 4.7200 0.10195200 4.7200 0.0000 
2022 10 26 0 5.2708 0.11288540 5.1443 0.0000 
2022 10 27 0 7.7430 0.16289506 7.1642 0.0000 
2022 10 28 0 8.6709 0.18554401 8.4088 0.0000 
2022 10 29 0 9.6941 0.20755516 9.4393 0.0000 
2022 10 30 0 10.1776 0.21893835 10.0458 0.0000 
2022 10 31 0 9.5564 0.20748147 9.6890 0.0000 
2022 11 1 0 9.0258 0.19591753 9.1597 0.0000 
2022 11 2 0 9.8953 0.21224272 9.7063 0.0000 
2022 11 3 0 13.9575 0.29432980 13.0075 0.0000 
2022 11 4 0 17.1913 0.36546951 16.3679 0.0000 
2022 11 5 0 18.5675 0.39848748 18.1853 0.0000 
2022 11 6 0 17.9902 0.38952958 18.0939 0.0000 
2022 11 7 0 18.8216 0.40512082 18.6412 0.0000 
2022 11 8 0 18.6814 0.40372220 18.6976 0.0000 
2022 11 9 0 19.4350 0.41848417 19.2641 0.0000 
2022 11 10 0 18.6731 0.40463403 18.8334 0.0000 
2022 11 11 0 17.2052 0.37423950 17.5570 0.0000 
2022 11 12 0 15.4388 0.33664364 15.8740 0.0000 
2022 11 13 0 13.6709 0.29847333 14.1127 0.0000 
2022 11 14 0 12.1707 0.26560130 12.5512 0.0000 
2022 11 15 0 11.5623 0.25088645 11.7327 0.0000 
2022 11 16 0 12.2685 0.26379467 12.1191 0.0000 
2022 11 17 0 15.7141 0.33335884 14.9089 0.0000 
2022 11 18 0 15.2342 0.32972681 15.2763 0.0000 
2022 11 19 0 13.4039 0.29275229 13.8319 0.0000 
2022 11 20 0 11.9765 0.26128281 12.3408 0.0000 
2022 11 21 0 10.4824 0.22910617 10.8548 0.0000 
2022 11 22 0 9.2345 0.20172480 9.5515 0.0000 
2022 11 23 0 8.4102 0.18316575 8.6250 0.0000 
2022 11 24 0 7.9624 0.17281318 8.0822 0.0000 
