Riversystem uTAHPS reservoir fractions [fr] 
YYYY MM DD HH HJELLE GRESSE TOPPSY KROKNESVATN 
2022 9 1 0 0.9651 0.9447 0.7936 0.6835 
2022 9 2 0 0.9374 0.9006 0.7902 0.6830 
2022 9 3 0 0.9133 0.8621 0.7873 0.6828 
2022 9 4 0 0.8857 0.8280 0.7865 0.6819 
2022 9 5 0 0.8855 0.8244 0.7881 0.6795 
2022 9 6 0 0.8899 0.8270 0.7892 0.6766 
2022 9 7 0 0.8638 0.7836 0.7843 0.6765 
2022 9 8 0 0.8372 0.7400 0.7806 0.6717 
2022 9 9 0 0.8102 0.6961 0.7770 0.6662 
2022 9 10 0 0.7833 0.6524 0.7733 0.6628 
2022 9 11 0 0.7573 0.6089 0.7698 0.6624 
2022 9 12 0 0.7334 0.5671 0.7670 0.6583 
2022 9 13 0 0.7209 0.5336 0.7682 0.6565 
2022 9 14 0 0.7032 0.4961 0.7675 0.6549 
2022 9 15 0 0.6833 0.4572 0.7660 0.6556 
2022 9 16 0 0.6615 0.4169 0.7640 0.6570 
2022 9 17 0 0.6496 0.3755 0.7637 0.6562 
2022 9 18 0 0.6171 0.3333 0.7589 0.6524 
2022 9 19 0 0.5914 0.2905 0.7562 0.6521 
2022 9 20 0 0.5651 0.2473 0.7530 0.6505 
2022 9 21 0 0.5384 0.2499 0.7497 0.6493 
2022 9 22 0 0.5115 0.2523 0.7464 0.6435 
2022 9 23 0 0.4846 0.2548 0.7431 0.6418 
2022 9 24 0 0.4578 0.2574 0.7399 0.6367 
2022 9 25 0 0.4471 0.2673 0.7380 0.6300 
2022 9 26 0 0.4491 0.2846 0.7388 0.6267 
2022 9 27 0 0.4592 0.3076 0.7423 0.6215 
2022 9 28 0 0.4842 0.3433 0.7526 0.6240 
2022 9 29 0 0.4907 0.3676 0.7584 0.6226 
2022 9 30 0 0.4880 0.3858 0.7617 0.6183 
2022 10 1 0 0.5102 0.4217 0.7734 0.6221 
