CHANNEL node 8 DALSANA
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 6.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 1 0 0.0000 0.00463406 0.3794 0.0000 
2022 9 1 1 0.0000 0.00351000 0.3122 0.0000 
2022 9 1 2 0.0000 0.00261122 0.2497 0.0000 
2022 9 1 3 0.0000 0.00191158 0.1943 0.0000 
2022 9 1 4 0.0000 0.00137965 0.1478 0.0000 
2022 9 1 5 0.0000 0.00098334 0.1101 0.0000 
2022 9 1 6 0.0000 0.00069318 0.0806 0.0000 
2022 9 1 7 0.0000 0.00048389 0.0581 0.0000 
2022 9 1 8 0.0000 0.00033488 0.0414 0.0000 
2022 9 1 9 0.0000 0.00022997 0.0291 0.0000 
2022 9 1 10 0.0000 0.00015684 0.0203 0.0000 
2022 9 1 11 0.0000 0.00010630 0.0140 0.0000 
2022 9 1 12 0.0000 0.00007164 0.0096 0.0000 
2022 9 1 13 0.0000 0.00004804 0.0066 0.0000 
2022 9 1 14 0.0000 0.00003206 0.0044 0.0000 
2022 9 1 15 0.0000 0.00002131 0.0030 0.0000 
2022 9 1 16 0.0000 0.00001411 0.0020 0.0000 
2022 9 1 17 0.0000 0.00000930 0.0013 0.0000 
2022 9 1 18 0.0000 0.00000612 0.0009 0.0000 
2022 9 1 19 0.0000 0.00000401 0.0006 0.0000 
2022 9 1 20 0.0000 0.00000262 0.0004 0.0000 
2022 9 1 21 0.0000 0.00000171 0.0003 0.0000 
2022 9 1 22 0.0000 0.00000111 0.0002 0.0000 
2022 9 1 23 0.0000 0.00000072 0.0001 0.0000 
2022 9 2 0 0.0000 0.00000047 0.0001 0.0000 
2022 9 2 1 0.0000 0.00000030 0.0000 0.0000 
2022 9 2 2 0.0000 0.00000019 0.0000 0.0000 
2022 9 2 3 0.0000 0.00000013 0.0000 0.0000 
2022 9 2 4 0.0000 0.00000008 0.0000 0.0000 
2022 9 2 5 0.0000 0.00000005 0.0000 0.0000 
2022 9 2 6 0.0000 0.00000003 0.0000 0.0000 
2022 9 2 7 0.0000 0.00000002 0.0000 0.0000 
2022 9 2 8 0.0000 0.00000001 0.0000 0.0000 
2022 9 2 9 0.0000 0.00000001 0.0000 0.0000 
2022 9 2 10 0.0000 0.00000001 0.0000 0.0000 
2022 9 2 11 0.0000 0.00000000 0.0000 0.0000 
2022 9 2 12 0.0000 0.00000000 0.0000 0.0000 
2022 9 2 13 0.0000 0.00000000 0.0000 0.0000 
2022 9 2 14 0.0000 0.00000000 0.0000 0.0000 
2022 9 2 15 0.0000 0.00000000 0.0000 0.0000 
2022 9 2 16 0.0000 0.00000000 0.0000 0.0000 
2022 9 2 17 0.0000 0.00000000 0.0000 0.0000 
2022 9 2 18 0.0000 0.00000000 0.0000 0.0000 
2022 9 2 19 0.0000 0.00000000 0.0000 0.0000 
2022 9 2 20 0.0000 0.00000000 0.0000 0.0000 
2022 9 2 21 0.0000 0.00000000 0.0000 0.0000 
2022 9 2 22 0.0000 0.00000000 0.0000 0.0000 
2022 9 2 23 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 1 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 2 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 3 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 4 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 5 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 6 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 7 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 8 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 9 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 10 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 11 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 12 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 13 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 14 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 15 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 16 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 17 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 18 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 19 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 20 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 21 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 22 0.0000 0.00000000 0.0000 0.0000 
2022 9 3 23 0.0000 0.00000000 0.0000 0.0000 
2022 9 4 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 4 1 0.0000 0.00000000 0.0000 0.0000 
2022 9 4 2 0.0000 0.00000000 0.0000 0.0000 
2022 9 4 3 0.0000 0.00000000 0.0000 0.0000 
2022 9 4 4 0.0000 0.00000000 0.0000 0.0000 
2022 9 4 5 9.5200 0.03394052 0.0921 0.0000 
2022 9 4 6 9.5200 0.06643587 0.4935 0.0000 
2022 9 4 7 9.5200 0.09595443 1.3204 0.0000 
2022 9 4 8 9.5200 0.12137621 2.4584 0.0000 
2022 9 4 9 9.5200 0.14230635 3.7061 0.0000 
2022 9 4 10 9.5200 0.15892071 4.9049 0.0000 
2022 9 4 11 9.5200 0.17172511 5.9632 0.0000 
2022 9 4 12 9.5200 0.18135781 6.8443 0.0000 
2022 9 4 13 9.5200 0.18846112 7.5469 0.0000 
2022 9 4 14 9.5200 0.19361228 8.0891 0.0000 
2022 9 4 15 9.5200 0.19729515 8.4970 0.0000 
2022 9 4 16 9.5200 0.19989642 8.7974 0.0000 
2022 9 4 17 9.5200 0.20171449 9.0150 0.0000 
2022 9 4 18 9.5200 0.20297353 9.1703 0.0000 
2022 9 4 19 9.5200 0.20383841 9.2798 0.0000 
2022 9 4 20 9.5200 0.20442827 9.3562 0.0000 
2022 9 4 21 9.5200 0.20482799 9.4090 0.0000 
2022 9 4 22 9.5200 0.20509731 9.4452 0.0000 
2022 9 4 23 9.5200 0.20527783 9.4699 0.0000 
2022 9 5 0 9.5200 0.20539826 9.4865 0.0000 
2022 9 5 1 9.5200 0.20547826 9.4978 0.0000 
2022 9 5 2 9.5200 0.20553120 9.5053 0.0000 
2022 9 5 3 9.5200 0.20556609 9.5103 0.0000 
2022 9 5 4 9.5200 0.20558903 9.5136 0.0000 
2022 9 5 5 9.5200 0.20560405 9.5158 0.0000 
2022 9 5 6 9.5200 0.20561386 9.5173 0.0000 
2022 9 5 7 9.5200 0.20562026 9.5182 0.0000 
2022 9 5 8 9.5200 0.20562441 9.5188 0.0000 
2022 9 5 9 9.5200 0.20562711 9.5193 0.0000 
2022 9 5 10 9.5200 0.20562885 9.5195 0.0000 
2022 9 5 11 9.5200 0.20562998 9.5197 0.0000 
2022 9 5 12 9.5200 0.20563070 9.5198 0.0000 
2022 9 5 13 9.5200 0.20563117 9.5199 0.0000 
2022 9 5 14 9.5200 0.20563147 9.5199 0.0000 
2022 9 5 15 9.5200 0.20563166 9.5199 0.0000 
2022 9 5 16 9.5200 0.20563179 9.5200 0.0000 
2022 9 5 17 9.5200 0.20563186 9.5200 0.0000 
2022 9 5 18 9.5200 0.20563192 9.5200 0.0000 
2022 9 5 19 9.5200 0.20563195 9.5200 0.0000 
2022 9 5 20 9.5200 0.20563197 9.5200 0.0000 
2022 9 5 21 9.5200 0.20563198 9.5200 0.0000 
2022 9 5 22 9.5200 0.20563199 9.5200 0.0000 
2022 9 5 23 9.5200 0.20563199 9.5200 0.0000 
2022 9 6 0 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 1 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 2 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 3 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 4 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 5 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 6 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 7 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 8 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 9 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 10 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 11 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 12 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 13 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 14 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 15 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 16 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 17 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 18 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 19 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 20 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 21 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 22 9.5200 0.20563200 9.5200 0.0000 
2022 9 6 23 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 0 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 1 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 2 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 3 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 4 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 5 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 6 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 7 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 8 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 9 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 10 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 11 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 12 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 13 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 14 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 15 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 16 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 17 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 18 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 19 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 20 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 21 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 22 9.5200 0.20563200 9.5200 0.0000 
2022 9 7 23 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 0 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 1 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 2 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 3 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 4 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 5 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 6 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 7 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 8 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 9 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 10 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 11 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 12 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 13 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 14 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 15 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 16 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 17 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 18 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 19 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 20 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 21 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 22 9.5200 0.20563200 9.5200 0.0000 
2022 9 8 23 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 0 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 1 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 2 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 3 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 4 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 5 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 6 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 7 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 8 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 9 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 10 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 11 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 12 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 13 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 14 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 15 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 16 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 17 9.5200 0.20563200 9.5200 0.0000 
2022 9 9 18 9.5200 0.20563200 9.5200 0.0000 
